"time","P_vent","P_technique","P_room_heating","P_room_cooling","P_pump","P_lightnig","P_heating","P_all_power","E_lighting","Q_rate_equipment","Q_rate_people","P_condition_all","T_amb","T_rate","T_rate_room","T_room","der(T_amb)","der(T_room)","n_rate_equipment","n_rate_humidity","n_rate_people","temp_val"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004627161809997632,0,0,0.004627161809997632,0,0,0,0.5
60.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000965410467560195,0.1413143078073455,0,0.000965410467560195,0,0,0,0.5
120.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201409661115806,0.1707986269296474,0,0.000201409661115806,0,0,0,0.5
181.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.200240111765219e-05,0.1769504719074961,0,4.200240111765219e-05,0,0,0,0.5
241.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.751788612173686e-06,0.1782336795453076,0,8.751788612173686e-06,0,0,0,0.5
302.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.842164368645045e-06,0.1785003357641138,0,1.842164368645045e-06,0,0,0,0.5
362.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.865694798769269e-07,0.1785565100820612,0,3.865694798769269e-07,0,0,0,0.5
423.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.706296155775656e-08,0.1785684545576161,0,7.706296155775656e-08,0,0,0,0.5
483.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.171255589639789e-08,0.1785705906404714,0,2.171255589639789e-08,0,0,0,0.5
544.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.859259472182718e-09,0.178571279634887,0,3.859259472182718e-09,0,0,0,0.5
604.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.083519072087973e-10,0.1785714636265454,0,-9.083519072087973e-10,0,0,0,0.5
665.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34853834645697e-09,0.1785714806142204,0,-1.34853834645697e-09,0,0,0,0.5
725.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.352558290828034e-09,0.1785714807693581,0,-1.352558290828034e-09,0,0,0,0.5
786.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.927972721741104e-10,0.1785714668854609,0,-9.927972721741104e-10,0,0,0,0.5
846.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.903671802276115e-10,0.1785714552140788,0,-6.903671802276115e-10,0,0,0,0.5
907.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.879370882811124e-10,0.1785714435426967,0,-3.879370882811124e-10,0,0,0,0.5
967.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.838495405297952e-10,0.17857143566655,0,-1.838495405297952e-10,0,0,0,0.5
1028.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.581583925395657e-10,0.1785714346750772,0,-1.581583925395657e-10,0,0,0,0.5
1088.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32467243891777e-10,0.1785714336836045,0,-1.32467243891777e-10,0,0,0,0.5
1149.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.067760965591068e-10,0.1785714326921317,0,-1.067760965591068e-10,0,0,0,0.5
1209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.10849485688773e-11,0.1785714317006589,0,-8.10849485688773e-11,0,0,0,0.5
1270.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.53937999210886e-11,0.1785714307091861,0,-5.53937999210886e-11,0,0,0,0.5
1330.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.970265193085914e-11,0.1785714297177133,0,-2.970265193085914e-11,0,0,0,0.5
1391.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.584415493853475e-11,0.1785714291828862,0,-1.584415493853475e-11,0,0,0,0.5
1451.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.470453112506984e-11,0.1785714291389058,0,-1.470453112506984e-11,0,0,0,0.5
1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.356490599648645e-11,0.1785714290949254,0,-1.356490599648645e-11,0,0,0,0.5
1572.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.242528218302154e-11,0.1785714290509451,0,-1.242528218302154e-11,0,0,0,0.5
1632.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.128565771199738e-11,0.1785714290069647,0,-1.128565771199738e-11,0,0,0,0.5
1693.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.014603389853247e-11,0.1785714289629843,0,-1.014603389853247e-11,0,0,0,0.5
1753.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.006409427508321e-12,0.1785714289190039,0,-9.006409427508321e-12,0,0,0,0.5
1814.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.866785614043411e-12,0.1785714288750236,0,-7.866785614043411e-12,0,0,0,0.5
1874.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.727160485460016e-12,0.1785714288310432,0,-6.727160485460016e-12,0,0,0,0.5
1935.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.587536671995106e-12,0.1785714287870628,0,-5.587536671995106e-12,0,0,0,0.5
1995.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.447912200970952e-12,0.1785714287430824,0,-4.447912200970952e-12,0,0,0,0.5
2056.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.308288387506042e-12,0.178571428699102,0,-3.308288387506042e-12,0,0,0,0.5
2116.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16866391648189e-12,0.1785714286551217,0,-2.16866391648189e-12,0,0,0,0.5
2177.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.029040103016979e-12,0.1785714286111413,0,-1.029040103016979e-12,0,0,0,0.5
2237.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.081860434358545e-13,0.1785714285987589,0,-7.081860434358545e-13,0,0,0,0.5
2298.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.823360745042837e-13,0.1785714285977613,0,-6.823360745042837e-13,0,0,0,0.5
2358.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.564874206911974e-13,0.1785714285967637,0,-6.564874206911974e-13,0,0,0,0.5
2419.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.306374517596266e-13,0.1785714285957661,0,-6.306374517596266e-13,0,0,0,0.5
2479.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.047887979465403e-13,0.1785714285947686,0,-6.047887979465403e-13,0,0,0,0.5
2540.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.789388290149695e-13,0.178571428593771,0,-5.789388290149695e-13,0,0,0,0.5
2600.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.530895176426409e-13,0.1785714285927734,0,-5.530895176426409e-13,0,0,0,0.5
2661.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.272402062703124e-13,0.1785714285917758,0,-5.272402062703124e-13,0,0,0,0.5
2721.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.013902373387416e-13,0.1785714285907782,0,-5.013902373387416e-13,0,0,0,0.5
2782.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.75540925966413e-13,0.1785714285897806,0,-4.75540925966413e-13,0,0,0,0.5
2842.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.496916145940845e-13,0.1785714285887831,0,-4.496916145940845e-13,0,0,0,0.5
2903.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.238423032217559e-13,0.1785714285877855,0,-4.238423032217559e-13,0,0,0,0.5
2963.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.979929918494273e-13,0.1785714285867879,0,-3.979929918494273e-13,0,0,0,0.5
3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.721436804770987e-13,0.1785714285857903,0,-3.721436804770987e-13,0,0,0,0.5
3084.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.462937115455279e-13,0.1785714285847927,0,-3.462937115455279e-13,0,0,0,0.5
3144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.204450577324416e-13,0.1785714285837952,0,-3.204450577324416e-13,0,0,0,0.5
3205.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.945950888008708e-13,0.1785714285827976,0,-2.945950888008708e-13,0,0,0,0.5
3265.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.687464349877845e-13,0.1785714285818,0,-2.687464349877845e-13,0,0,0,0.5
3326.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.428964660562137e-13,0.1785714285808024,0,-2.428964660562137e-13,0,0,0,0.5
3386.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.170471546838852e-13,0.1785714285798048,0,-2.170471546838852e-13,0,0,0,0.5
3447.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.911978433115566e-13,0.1785714285788073,0,-1.911978433115566e-13,0,0,0,0.5
3507.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.653485319392281e-13,0.1785714285778097,0,-1.653485319392281e-13,0,0,0,0.5
3568.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.394992205668995e-13,0.1785714285768121,0,-1.394992205668995e-13,0,0,0,0.5
3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.259587606503624e-13,0.1785714285762896,0,-1.259587606503624e-13,0,0,0,0.5
3600,33.830160055536,8.457540013884,150.7296740173985,0,31.715775052065,38.058930062478,1268.6310020826,1531.423081283961,42.28770006942,845.7540013884,3383.0160055536,150.7296740173985,0,-0.000704795001157,0.05094399704832062,0.1785714285762896,-0.000704795001157,0.05094399704832062,84.57540013884,0.4228770006942,169.15080027768,0.8457540013884
3628.8,33.830160055536,8.457540013884,150.7296740173985,0,31.715775052065,38.058930062478,1268.6310020826,1531.423081283961,42.28770006942,845.7540013884,3383.0160055536,150.7296740173985,-0.0202980960333226,-0.000704795001157,0.02378353910669017,1.206449725426369,-0.000704795001157,0.02378353910669017,84.57540013884,0.4228770006942,169.15080027768,0.8457540013884
3689.28,33.830160055536,8.457540013884,150.7296740173985,0,31.715775052065,38.058930062478,1268.6310020826,1531.423081283961,42.28770006942,845.7540013884,3383.0160055536,150.7296740173985,-0.06292409770329686,-0.000704795001157,0.004404304931863849,1.911707129031292,-0.000704795001157,0.004404304931863849,84.57540013884,0.4228770006942,169.15080027768,0.8457540013884
